Target,Best Approach,Best Model,Selection Criterion,RMSE,MAE,R2,LOG_R2,Source File
batch_count,Direct Aggregate Window Forecasting,XGBoost,Highest R2,1.1607,0.6946,0.4034,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv
cpu_request,Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,Highest R2,5.1049,0.6984,0.981,0.9959,outputs\final_job_level\job_level_model_summary.csv
cpu_request_sum,Two-Stage Window Forecasting,TwoStage_XGBoost,Highest R2,90.4038,57.4631,0.4871,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv
duration_minutes,Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,Highest R2,4241.6899,1480.6147,0.0517,0.6885,outputs\final_job_level\job_level_model_summary.csv
duration_minutes_mean,Two-Stage Window Forecasting,TwoStage_XGBoost,Highest R2,2635.2614,760.2853,-0.0101,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv
interactive_count,Two-Stage Window Forecasting,TwoStage_XGBoost,Highest R2,0.7013,0.3843,0.4162,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv
interarrival_minutes,Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,Highest R2,7.8183,3.3196,-0.0899,-0.1818,outputs\final_job_level\job_level_model_summary.csv
job_count,Direct Aggregate Window Forecasting,XGBoost,Highest R2,1.3703,0.8501,0.5423,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv
memory_request,Job-Level Workload Forecasting using Historical Profiles,JobLevel_HistoricalProfile,Highest R2,28.4225,10.7263,0.9768,0.9947,outputs\final_job_level\job_level_model_summary.csv
memory_request_sum,Two-Stage Window Forecasting,TwoStage_XGBoost,Highest R2,447.1872,289.8499,0.5027,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv
